Stock,Stock Growth,Profit,BuyColumns,SellColumn,Wins,Losses,Entries,Exits,Winrate,Profit/StockGrowth
JSL,1673.62,1241.5,closeAboveATRBuySignal,atrSellSignal,11.0,9.0,20.0,20.0,55.0,0.74
PRESTIGE,269.35,201.57,"closeAboveATRBuySignal,atrBuySignal",atrSellSignal,12.0,10.0,22.0,22.0,54.55,0.75
IDFC,216.22,259.48,"closeAboveATRBuySignal,atrBuySignal",atrSellSignal,13.0,11.0,24.0,24.0,54.17,1.2
SOBHA,293.3,291.88,closeAboveATRBuySignal,atrSellSignal,13.0,11.0,24.0,24.0,54.17,1.0
KARURVYSYA,216.96,533.49,"closeAboveATRBuySignal,atrBuySignal",atrSellSignal,9.0,8.0,17.0,17.0,52.94,2.46
DEEPAKFERT,485.33,405.15,"closeAboveATRBuySignal,rsiBuySignal,atrBuySignal",atrSellSignal,10.0,9.0,19.0,19.0,52.63,0.83
HFCL,426.07,476.77,"closeAboveATRBuySignal,rsiBuySignal,atrBuySignal",atrSellSignal,10.0,9.0,19.0,19.0,52.63,1.12
HUDCO,419.04,379.84,"closeAboveATRBuySignal,rsiBuySignal",atrSellSignal,10.0,9.0,19.0,19.0,52.63,0.91
BANKINDIA,92.69,290.74,"closeAboveATRBuySignal,rsiBuySignal,atrBuySignal",atrSellSignal,10.0,9.0,19.0,19.0,52.63,3.14
J&KBANK,329.87,481.12,"closeAboveATRBuySignal,rsiBuySignal",atrSellSignal,11.0,10.0,21.0,21.0,52.38,1.46
AFFLE,231.14,232.52,"closeAboveATRBuySignal,atrBuySignal",atrSellSignal,12.0,11.0,23.0,23.0,52.17,1.01
IRB,804.92,724.27,closeAboveATRBuySignal,atrSellSignal,12.0,11.0,23.0,23.0,52.17,0.9
RTNINDIA,3551.28,4503.93,closeAboveATRBuySignal,atrSellSignal,15.0,13.0,29.0,29.0,51.72,1.27
MASTEK,544.67,943.31,closeAboveATRBuySignal,atrSellSignal,10.0,10.0,20.0,20.0,50.0,1.73
RENUKA,351.32,554.73,"closeAboveATRBuySignal,rsiBuySignal,atrBuySignal",atrSellSignal,9.0,9.0,18.0,18.0,50.0,1.58
LTIM,161.52,212.68,closeAboveATRBuySignal,atrSellSignal,13.0,13.0,26.0,26.0,50.0,1.32
MOTILALOFS,172.59,262.1,closeAboveATRBuySignal,atrSellSignal,8.0,8.0,16.0,16.0,50.0,1.52
WELCORP,260.03,217.84,closeAboveATRBuySignal,atrSellSignal,14.0,14.0,28.0,28.0,50.0,0.84
INDIANB,405.33,311.17,closeAboveATRBuySignal,atrSellSignal,13.0,13.0,26.0,26.0,50.0,0.77
CHOLAHLDNG,107.57,227.99,closeAboveATRBuySignal,atrSellSignal,7.0,7.0,14.0,14.0,50.0,2.12
RAYMOND,199.35,229.13,"closeAboveATRBuySignal,rsiBuySignal",atrSellSignal,11.0,11.0,22.0,22.0,50.0,1.15
TATACONSUM,251.43,229.55,"closeAboveATRBuySignal,atrBuySignal",atrSellSignal,10.0,10.0,20.0,20.0,50.0,0.91
MRPL,419.45,415.74,closeAboveATRBuySignal,atrSellSignal,11.0,11.0,22.0,22.0,50.0,0.99
