Stock,Stock Growth,Profit,BuyColumns,SellColumn,Wins,Losses,Entries,Exits,Winrate,Profit/StockGrowth
3IINFOLTD.NS,-30.71,111.32,"atrBuySignal,rsiBuySignal",atrSellSignal,12.0,18.0,30.0,30.0,40.0,-3.62
THOMASCOOK.NS,189.08,111.3,rsiBuySignal,atrSellSignal,16.0,19.0,35.0,35.0,45.71,0.59
IREDA.NS,167.83,111.29,atrBuySignal,atrSellSignal,1.0,0.0,1.0,1.0,100.0,0.66
MASFIN.NS,32.17,110.96,stochasticBuySignal,atrSellSignal,3.0,4.0,7.0,7.0,42.86,3.45
CERA.NS,255.38,110.82,atrBuySignal,atrSellSignal,16.0,19.0,35.0,35.0,45.71,0.43
INDSWFTLAB.NS,223.6,110.58,"atrBuySignal,rsiBuySignal",atrSellSignal,16.0,13.0,29.0,29.0,55.17,0.49
OFSS.NS,138.43,110.37,atrBuySignal,atrSellSignal,15.0,21.0,36.0,36.0,41.67,0.8
RCF.NS,188.74,110.26,atrBuySignal,atrSellSignal,20.0,24.0,44.0,44.0,45.45,0.58
MAITHANALL.NS,273.04,109.68,atrBuySignal,atrSellSignal,16.0,26.0,42.0,42.0,38.1,0.4
ALEMBICLTD.NS,147.2,109.34,rsiBuySignal,atrSellSignal,12.0,18.0,30.0,30.0,40.0,0.74
VINATIORGA.NS,453.06,108.77,atrBuySignal,atrSellSignal,18.0,23.0,41.0,41.0,43.9,0.24
UJJIVANSFB.NS,-5.36,108.3,rsiBuySignal,atrSellSignal,6.0,11.0,17.0,17.0,35.29,-20.21
INDOAMIN.NS,22.67,108.02,rsiBuySignal,atrSellSignal,4.0,3.0,7.0,7.0,57.14,4.76
XELPMOC.NS,115.71,107.75,atrBuySignal,atrSellSignal,8.0,16.0,24.0,24.0,33.33,0.93
CGCL.NS,327.3,107.42,atrBuySignal,atrSellSignal,13.0,15.0,28.0,28.0,46.43,0.33
RIIL.NS,222.75,107.16,atrBuySignal,atrSellSignal,13.0,26.0,39.0,39.0,33.33,0.48
GRWRHITECH.NS,99.59,106.96,"atrBuySignal,rsiBuySignal",atrSellSignal,4.0,4.0,8.0,8.0,50.0,1.07
ACEINTEG.NS,31.61,106.61,atrBuySignal,atrSellSignal,17.0,20.0,38.0,38.0,44.74,3.37
SHANTIGEAR.NS,384.48,105.61,"atrBuySignal,rsiBuySignal",atrSellSignal,14.0,15.0,29.0,29.0,48.28,0.27
ASAHIINDIA.NS,223.41,105.48,rsiBuySignal,atrSellSignal,16.0,19.0,35.0,35.0,45.71,0.47
UFLEX.NS,57.09,105.12,stochasticBuySignal,atrSellSignal,3.0,2.0,5.0,5.0,60.0,1.84
DMART.NS,631.92,105.0,atrBuySignal,atrSellSignal,17.0,23.0,40.0,40.0,42.5,0.17
SINTERCOM.NS,62.37,104.91,atrBuySignal,atrSellSignal,14.0,22.0,36.0,36.0,38.89,1.68
CREDITACC.NS,240.54,104.54,atrBuySignal,atrSellSignal,13.0,23.0,36.0,36.0,36.11,0.43
ARSHIYA.NS,-77.04,104.35,atrBuySignal,atrSellSignal,19.0,29.0,48.0,48.0,39.58,-1.35
LINC.NS,144.07,104.3,rsiBuySignal,atrSellSignal,13.0,12.0,25.0,25.0,52.0,0.72
NECLIFE.NS,-6.33,103.95,"atrBuySignal,rsiBuySignal",atrSellSignal,7.0,15.0,22.0,22.0,31.82,-16.42
HARRMALAYA.NS,124.83,103.77,stochasticBuySignal,atrSellSignal,4.0,4.0,8.0,8.0,50.0,0.83
SFL.NS,96.69,103.36,rsiBuySignal,atrSellSignal,13.0,11.0,24.0,24.0,54.17,1.07
RATEGAIN.NS,93.87,103.24,atrBuySignal,atrSellSignal,8.0,4.0,12.0,12.0,66.67,1.1
MAXIND.NS,190.59,102.78,stochasticBuySignal,atrSellSignal,3.0,1.0,4.0,4.0,75.0,0.54
SREEL.NS,94.23,102.71,atrBuySignal,atrSellSignal,13.0,13.0,26.0,26.0,50.0,1.09
COALINDIA.NS,45.08,102.41,"atrBuySignal,rsiBuySignal",atrSellSignal,15.0,19.0,34.0,34.0,44.12,2.27
TRITURBINE.NS,348.41,102.19,"atrBuySignal,rsiBuySignal",atrSellSignal,12.0,14.0,26.0,26.0,46.15,0.29
