Date,Stock,Stock Growth,Profit,Winrate,Profit/StockGrowth,Wins,Losses,Entries,Exits,CheckpointProfit1,CheckpointWins1,CheckpointLosses1,CheckpointEntries1,CheckpointExits1,CheckpointWinrate1,CheckpointProfit2,CheckpointWins2,CheckpointLosses2,CheckpointEntries2,CheckpointExits2,CheckpointWinrate2,CheckpointProfit3,CheckpointWins3,CheckpointLosses3,CheckpointEntries3,CheckpointExits3,CheckpointWinrate3
2024-08-09,SARDAEN,267.74,117.99,62.5,0.44,10,6,16,16,46.17,3.0,2.0,5.0,5.0,60.0,44.6,3.0,4.0,7.0,7.0,42.86,27.22,4.0,0.0,4.0,4.0,100.0
2024-08-09,GAYAHWS,25.0,290.73,62.5,11.63,10,6,16,16,141.49,4.0,1.0,5.0,5.0,80.0,29.47,1.0,3.0,4.0,4.0,25.0,119.77,5.0,2.0,7.0,7.0,71.43
2024-08-09,EUROTEXIND,20.58,206.21,62.5,10.02,10,6,16,16,55.51,2.0,1.0,3.0,3.0,66.67,99.07,3.0,2.0,5.0,5.0,60.0,51.63,5.0,3.0,8.0,8.0,62.5
2024-08-09,TCLCONS,515.2,439.11,61.9,0.85,13,8,21,21,272.11,4.0,3.0,7.0,7.0,57.14,50.27,2.0,3.0,5.0,5.0,40.0,116.73,7.0,2.0,9.0,9.0,77.78
2024-08-09,TATAINVEST,362.83,223.93,61.54,0.62,8,5,13,13,18.89,3.0,1.0,4.0,4.0,75.0,85.57,2.0,1.0,3.0,3.0,66.67,119.47,3.0,3.0,6.0,6.0,50.0
2024-08-09,JINDRILL,388.0,126.18,61.54,0.33,8,5,13,13,25.44,2.0,1.0,3.0,3.0,66.67,57.37,3.0,3.0,6.0,6.0,50.0,43.37,3.0,1.0,4.0,4.0,75.0
2024-08-09,ARTNIRMAN,159.06,508.07,61.54,3.19,8,5,13,13,433.74,3.0,2.0,5.0,5.0,60.0,51.11,2.0,2.0,4.0,4.0,50.0,23.22,3.0,1.0,4.0,4.0,75.0
2024-08-09,KAUSHALYA,225.0,245.89,61.11,1.09,11,7,18,18,89.82,4.0,4.0,8.0,8.0,50.0,26.2,2.0,1.0,3.0,3.0,66.67,129.87,5.0,2.0,7.0,7.0,71.43
2024-08-09,SOMATEX,385.31,411.73,61.11,1.07,11,7,18,18,41.79,2.0,2.0,4.0,4.0,50.0,357.22,4.0,2.0,6.0,6.0,66.67,12.72,5.0,3.0,8.0,8.0,62.5
2024-08-09,INDOWIND,349.31,159.21,60.87,0.46,14,9,23,23,80.97,5.0,3.0,8.0,8.0,62.5,10.42,3.0,3.0,6.0,6.0,50.0,67.82,6.0,3.0,9.0,9.0,66.67
2024-08-09,JPOLYINVST,1933.17,875.34,60.0,0.45,9,6,15,15,794.92,4.0,2.0,6.0,6.0,66.67,45.3,3.0,3.0,6.0,6.0,50.0,35.12,2.0,1.0,3.0,3.0,66.67
2024-08-09,PREMEXPLN,1120.24,221.96,60.0,0.2,9,6,15,15,26.44,2.0,3.0,5.0,5.0,40.0,14.78,2.0,2.0,4.0,4.0,50.0,180.74,5.0,1.0,6.0,6.0,83.33
2024-08-09,AURIONPRO,1655.41,349.15,60.0,0.21,9,6,15,15,10.92,3.0,3.0,6.0,6.0,50.0,198.79,2.0,3.0,5.0,5.0,40.0,139.44,4.0,0.0,4.0,4.0,100.0
2024-08-09,VINNY,191.58,324.19,60.0,1.69,12,8,20,20,107.37,2.0,2.0,4.0,4.0,50.0,196.18,4.0,1.0,5.0,5.0,80.0,20.64,6.0,5.0,11.0,11.0,54.55
