Stock,Stock Growth,Profit,BuyColumns,SellColumn,Wins,Losses,Entries,Exits,Winrate,Profit/StockGrowth
REDINGTON.NS,274.43,68.88,"stochasticBuySignal,closeAboveATRBuySignal,rsiBuySignal",atrSellSignal,2.0,1.0,3.0,3.0,66.67,0.25
3MINDIA.NS,36.55,68.79,"stochasticBuySignal,closeAboveATRBuySignal",atrSellSignal,5.0,3.0,8.0,8.0,62.5,1.88
CAMS.NS,124.89,68.44,"closeAboveATRBuySignal,rsiBuySignal",atrSellSignal,8.0,12.0,20.0,20.0,40.0,0.55
ULTRACEMCO.NS,130.36,67.94,closeAboveATRBuySignal,atrSellSignal,15.0,14.0,29.0,29.0,51.72,0.52
ZOMATO.NS,50.16,67.69,"stochasticBuySignal,closeAboveATRBuySignal",atrSellSignal,1.0,2.0,3.0,3.0,33.33,1.35
ATUL.NS,45.31,67.37,closeAboveATRBuySignal,atrSellSignal,10.0,11.0,21.0,21.0,47.62,1.49
ICICIPRULI.NS,22.29,66.35,"closeAboveATRBuySignal,rsiBuySignal",atrSellSignal,10.0,13.0,23.0,23.0,43.48,2.98
ASIANPAINT.NS,56.62,65.75,"closeAboveATRBuySignal,rsiBuySignal",atrSellSignal,9.0,13.0,22.0,22.0,40.91,1.16
SHRIRAMFIN.NS,112.6,65.52,"closeAboveATRBuySignal,rsiBuySignal,atrBuySignal",atrSellSignal,10.0,11.0,21.0,21.0,47.62,0.58
AUROPHARMA.NS,137.3,64.97,closeAboveATRBuySignal,atrSellSignal,10.0,18.0,28.0,28.0,35.71,0.47
DLF.NS,276.03,64.12,closeAboveATRBuySignal,atrSellSignal,15.0,18.0,33.0,33.0,45.45,0.23
NAM-INDIA.NS,58.18,64.0,"closeAboveATRBuySignal,rsiBuySignal",atrSellSignal,8.0,12.0,20.0,20.0,40.0,1.1
RAINBOW.NS,189.1,63.76,"closeAboveATRBuySignal,rsiBuySignal",atrSellSignal,4.0,5.0,9.0,9.0,44.44,0.34
SYNGENE.NS,121.5,63.46,closeAboveATRBuySignal,atrSellSignal,11.0,11.0,22.0,22.0,50.0,0.52
CERA.NS,164.3,63.19,"closeAboveATRBuySignal,rsiBuySignal,atrBuySignal",atrSellSignal,9.0,11.0,20.0,20.0,45.0,0.38
INFY.NS,91.52,62.85,"closeAboveATRBuySignal,rsiBuySignal,atrBuySignal",atrSellSignal,10.0,14.0,24.0,24.0,41.67,0.69
ASAHIINDIA.NS,186.82,61.95,closeAboveATRBuySignal,atrSellSignal,12.0,12.0,24.0,24.0,50.0,0.33
INDHOTEL.NS,326.99,61.87,"closeAboveATRBuySignal,rsiBuySignal",atrSellSignal,13.0,17.0,30.0,30.0,43.33,0.19
SYRMA.NS,50.03,61.53,"closeAboveATRBuySignal,rsiBuySignal,atrBuySignal",atrSellSignal,4.0,3.0,7.0,7.0,57.14,1.23
