Date,Stock,Stock Growth,Profit,Winrate,Profit/StockGrowth,BuyColumns,SellColumn,Wins,Losses,Entries,Exits,Sharpe Ratio,Skewness
2024-05-24,ARTEMISMED,349.42,263.22,100.0,0.75,atrBuySignal,atrSellSignal,5.0,0.0,5.0,5.0,0.88,1.37
2024-05-24,^NSEI,49.56,33.91,45.45,0.68,atrBuySignal,atrSellSignal,5.0,6.0,11.0,11.0,0.48,0.62
